Time (s),X (m),Y (m),Z (m),q1 (norm),q2 (i),q3 (j),q4 (k)
1735693680.0, 3792970.752656021, 2432030.8344157427, 4885549.1944123395, 0.6389010748892752, 0.39325940600468606,-0.032234626397560556,0.660388813469141
1735693681.0, 3793888.3116159537, 2425685.783880199, 4889040.133530447, 0.6388452916115502, 0.3928329449238254,-0.03263597617876484,0.6606768225290541
1735693682.0, 3794799.815447973, 2419337.320333758, 4892524.4364556195, 0.6387892089537928, 0.39240634531512125,-0.03303725931098359,0.6609645574293953
1735693683.0, 3795705.2642130195, 2412985.4543844634, 4896002.100766691, 0.6387328270474985, 0.3919796072965753,-0.03343847574629061,0.661252018110567
1735693684.0, 3796604.6579779987, 2406630.196635873, 4899473.124048756, 0.6386761460265057, 0.39155273099253535,-0.03383962543114041,0.6615392045069565
1735693685.0, 3797497.996815731, 2400271.55768717, 4902937.503893152, 0.638619166015131, 0.3911257165263167,-0.03424070830984626,0.6618261165626164
1735693686.0, 3798385.2808049223, 2393909.548133178, 4906395.23789745, 0.6385618871464523, 0.3906985640127441,-0.03464172433770792,0.6621127542173246
1735693687.0, 3799266.510030165, 2387544.1785643636, 4909846.323665436, 0.6385043095455792, 0.3902712735799065,-0.03504267345435804,0.6623991174112569
1735693688.0, 3800141.6845818595, 2381175.459566943, 4913290.758807108, 0.6384464333534184, 0.38984384534008315,-0.03544355561977764,0.6626852060773532
1735693689.0, 3801010.804556484, 2374803.40172247, 4916728.540938647, 0.638388258680761, 0.38941627942795887,-0.035844370762398985,0.6629710201657983
1735693690.0, 3801873.8700561016, 2368428.015608594, 4920159.667682426, 0.6383297856801936, 0.3889885759519666,-0.036245118849354434,0.6632565595996284
1735693691.0, 3802730.881188972, 2362049.311798086, 4923584.1366669815, 0.6382710144569602, 0.38856073504114075,-0.03664579981265911,0.6635418243369907
1735693692.0, 3803581.838068729, 2355667.3008601535, 4927001.945527003, 0.6382119451630985, 0.38813275680939685,-0.0370464136135868,0.6638268142980086
1735693693.0, 3804426.7408153825, 2349281.9933588183, 4930413.091903324, 0.6381525779027427, 0.38770464138954414,-0.037446960179915896,0.6641115294394253
1735693694.0, 3805265.589554236, 2342893.399854658, 4933817.573442911, 0.6380929128276206, 0.3872763888909115,-0.03784743947702358,0.6643959696836
1735693695.0, 3806098.3844168885, 2336501.5309031876, 4937215.387798848, 0.6380329500553182, 0.38684799944061254,-0.03824785144220065,0.6646801349766359
1735693696.0, 3806925.125540482, 2330106.397056056, 4940606.532630322, 0.6379726897188353, 0.38641947315413355,-0.038648196028733095,0.6649640252554428
1735693697.0, 3807745.8130680397, 2323708.0088605103, 4943991.005602612, 0.6379121319375021, 0.3859908101608214,-0.039048473172031674,0.6652476404627654
1735693698.0, 3808560.447148318, 2317306.3768596225, 4947368.804387079, 0.6378512768579467, 0.3855620105732645,-0.039448682832139,0.6655309805232196
1735693699.0, 3809369.027936064, 2310901.5115918615, 4950739.926661156, 0.637790124591974, 0.3851330745140253,-0.03984882494855553,0.6658140453899631
1735693700.0, 3810171.5555915493, 2304493.423591859, 4954104.370108328, 0.6377286752820109, 0.38470400210542055,-0.040248899470248754,0.6660968349861437
1735693701.0, 3810968.030281084, 2298082.1233895444, 4957462.132418122, 0.6376669290421164, 0.3842747934707111,-0.04064890633651243,0.6663793492618781
1735693702.0, 3811758.452176489, 2291667.621511024, 4960813.211286104, 0.6376048860219135, 0.38384544872199455,-0.041048845508193446,0.6666615881381182
1735693703.0, 3812542.8214556766, 2285249.928477614, 4964157.604413851, 0.6375425463233357, 0.3834159679888605,-0.0414487169145155,0.6669435515730419
1735693704.0, 3813321.138301923, 2278829.054807031, 4967495.309508951, 0.6374799100937282, 0.3829863513842386,-0.04184852051454547,0.6672252394889033
1735693705.0, 3814093.402904515, 2272405.0110123227, 4970826.324284987, 0.637416977454321, 0.3825565990350298,-0.042248256245730094,0.6675066518259906
1735693706.0, 3814859.6154584186, 2265977.807602414, 4974150.646461524, 0.6373537485357873, 0.3821267110573605,-0.04264792405873755,0.6677877885206835
1735693707.0, 3815619.7761643287, 2259547.455082, 4977468.2737641, 0.6372902234661709, 0.38169668757208797,-0.04304752389870758,0.668068649509258
1735693708.0, 3816373.8852286735, 2253113.9639515663, 4980779.203924208, 0.6372264023689427, 0.3812665287005513,-0.04344705570882744,0.6683492347319626
1735693709.0, 3817121.9428635356, 2246677.344707487, 4984083.434679295, 0.6371622853865561, 0.3808362345587697,-0.04384651944298742,0.668629544113042
1735693710.0, 3817863.949286902, 2240237.607841617, 4987380.963772733, 0.6370978726264906, 0.38040580527254214,-0.044245915035048176,0.6689095776055684
1735693711.0, 3818599.904722212, 2233794.763842038, 4990671.788953826, 0.6370331642400147, 0.37997524095947044,-0.044645242439707564,0.6691893351239593
1735693712.0, 3819329.8093989193, 2227348.8231921014, 4993955.907977782, 0.6369681603242998, 0.3795445417424704,-0.04504450159038376,0.6694688166322977
1735693713.0, 3820053.663551666, 2220899.7963718465, 4997233.318605716, 0.6369028610521855, 0.3791137077308407,-0.045443692455894504,0.6697480220277543
1735693714.0, 3820771.4674215345, 2214447.693855827, 5000504.018604626, 0.6368372664969983, 0.3786827390606839,-0.04584281494965934,0.6700269512904838
1735693715.0, 3821483.221254403, 2207992.526115951, 5003768.0057473825, 0.6367713768315837, 0.3782516358387418,-0.046241869042670324,0.6703056043184822
1735693716.0, 3822188.925302513, 2201534.303618766, 5007025.277812727, 0.6367051921625958, 0.37782039818823043,-0.04664085467042842,0.6705839810655269
1735693717.0, 3822888.5798234553, 2195073.0368272085, 5010275.832585251, 0.6366387126222977, 0.3773890262313326,-0.04703977177680133,0.6708620814608444
1735693718.0, 3823582.185080544, 2188608.736199956, 5013519.667855386, 0.6365719383325388, 0.3769575200878925,-0.047438620304777745,0.6711399054446991
1735693719.0, 3824269.741342676, 2182141.4121916485, 5016756.781419389, 0.6365048694335226, 0.3765258798744894,-0.04783740020571145,0.6714174529409512
1735693720.0, 3824951.2488845782, 2175671.075252471, 5019987.171079342, 0.6364375060406648, 0.37609410571316304,-0.048236111418371676,0.6716947238945601
1735693721.0, 3825626.70798637, 2169197.7358289068, 5023210.834643127, 0.6363698482907079, 0.37566219772185083,-0.04863475389153048,0.6719717182316238
1735693722.0, 3826296.1189340428, 2162721.404362886, 5026427.769924425, 0.6363018963039677, 0.37523015601887455,-0.04903332756874996,0.6722484358937263
1735693723.0, 3826959.48201903, 2156242.091292553, 5029637.974742697, 0.6362336502108132, 0.3747979807277646,-0.04943183239131272,0.67252487680996
1735693724.0, 3827616.7975384365, 2149759.8070518286, 5032841.446923175, 0.6361651101376662, 0.3743656719671438,-0.04983026830400378,0.6728010409154187
1735693725.0, 3828268.065794984, 2143274.562070536, 5036038.184296852, 0.6360962762128372, 0.37393322985348726,-0.050228635254104315,0.6730769281441841
1735693726.0, 3828913.2870969893, 2136786.3667744026, 5039228.184700472, 0.6360271485639247, 0.3735006545055177,-0.0506269331863956,0.6733525384297094
1735693727.0, 3829552.4617583705, 2130295.231585074, 5042411.445976514, 0.635957727315124, 0.3730679460464446,-0.051025162040243106,0.6736278717063572
1735693728.0, 3830185.5900986297, 2123801.166920106, 5045587.965973185, 0.6358880125967199, 0.37263510459477983,-0.05142332176116326,0.6739029279046643
1735693729.0, 3830812.672442856, 2117304.183192988, 5048757.7425444, 0.6358180045319827, 0.37220213026593085,-0.051821412295563536,0.6741777069632042
1735693730.0, 3831433.709121655, 2110804.290813249, 5051920.773549787, 0.6357477032567169, 0.3717690231842108,-0.05221943358466458,0.6744522088039775
1735693731.0, 3832048.7004713765, 2104301.500186033, 5055077.056854662, 0.6356771088842232, 0.3713357834676554,-0.05261738556931979,0.6747264333734877
1735693732.0, 3832657.646833697, 2097795.8217128664, 5058226.590330022, 0.6356062215611413, 0.3709024112261511,-0.053015268207443726,0.6750003805897367
1735693733.0, 3833260.5485561476, 2091287.265790687, 5061369.371852533, 0.6355350413839846, 0.37046890659336745,-0.0534130814199232,0.6752740504075367
1735693734.0, 3833857.4059913317, 2084775.8428132643, 5064505.399304524, 0.6354635685157701, 0.37003526967741385,-0.0538108251706715,0.6755474427295377
1735693735.0, 3834448.2194980485, 2078261.5631691383, 5067634.6705739675, 0.6353918030550538, 0.36960150060209557,-0.054208499390473106,0.6758205575128355
1735693736.0, 3835032.9894400444, 2071744.4372439135, 5070757.183554476, 0.6353197451419481, 0.3691675994853959,-0.05460610402710068,0.6760933946770533
1735693737.0, 3835611.716186949, 2065224.4754185257, 5073872.936145285, 0.6352473948908985, 0.3687335664466445,-0.05500363901984543,0.6763659541656716
1735693738.0, 3836184.400113622, 2058701.6880704437, 5076981.92625125, 0.6351747524484076, 0.3682994016025065,-0.055401104319254636,0.6766382358923761
1735693739.0, 3836751.0416007903, 2052176.0855724786, 5080084.151782822, 0.6351018179244509, 0.36786510507250286,-0.05579849986298774,0.6769102398044325
1735693740.0, 3837311.6410344043, 2045647.6782939911, 5083179.610656053, 0.6350285914560813, 0.3674306769744881,-0.05619582559760348,0.6771819658236466
1735693741.0, 3837866.1988061517, 2039116.4765999198, 5086268.300792573, 0.634955073156069, 0.3669961174312998,-0.05659308145814211,0.6774534138926416
1735693742.0, 3838414.715312983, 2032582.4908516484, 5089350.220119585, 0.6348812631672084, 0.3665614265572293,-0.05699026739590715,0.67772458392896
1735693743.0, 3838957.190957575, 2026045.7314061625, 5092425.3665698515, 0.6348071616053321, 0.36612660447398004,-0.057387383347645725,0.6779954758724026
1735693744.0, 3839493.6261479175, 2019506.2086167966, 5095493.738081689, 0.6347327685969253, 0.365691651296424,-0.05778442925943498,0.6782660896554819
1735693745.0, 3840024.0212975387, 2012963.932832823, 5098555.332598946, 0.634658084268976, 0.3652565671484238,-0.058181405068758005,0.6785364252059041
1735693746.0, 3840548.3768253825, 2006418.9143996637, 5101610.148071004, 0.6345831087587868, 0.36482135214205175,-0.05857831072705033,0.6788064824466866
1735693747.0, 3841066.693156088, 1999871.1636583596, 5104658.182452761, 0.6345078421682452, 0.3643860064020876,-0.05897514616396194,0.6790762613287806
1735693748.0, 3841578.970719361, 1993320.6909467771, 5107699.433704618, 0.6344322846516064, 0.3639505300401685,-0.0593719113356365,0.6793457617587504
1735693749.0, 3842085.209950815, 1986767.5065979802, 5110733.899792481, 0.6343564363153134, 0.3635149231781611,-0.0597686061755384,0.6796149836841039
1735693750.0, 3842585.411291113, 1980211.620941868, 5113761.57868774, 0.6342802972870976, 0.36307918593804717,-0.060165230622581695,0.6798839270317306
1735693751.0, 3843079.575186536, 1973653.044304093, 5116782.4683672525, 0.6342038677048131, 0.36264331843058417,-0.06056178462900358,0.6801525917236954
